"Id","SalePrice"
1461,123552.213637927
1462,185406.176194644
1463,184688.768375019
1464,204686.345273005
1465,195460.286005459
1466,171075.141163317
1467,180650.610313868
1468,163516.768242266
1469,192049.212776573
1470,123363.819288704
1471,169513.546415417
1472,98430.480814834
1473,97397.042921916
1474,149599.263271934
1475,124762.74890448
1476,361611.01594233
1477,256720.665454737
1478,312411.649282767
1479,289741.662462409
1480,567898.400247826
1481,334391.407333994
1482,211872.16375933
1483,172317.022224617
1484,162626.042842958
1485,184812.27431446
1486,188227.39502849
1487,340965.323734703
1488,230803.787983991
1489,196239.535991597
1490,247538.737166836
1491,192320.434302441
1492,93026.6875225711
1493,170555.270085324
1494,284137.704849641
1495,291524.116522139
1496,231477.913171881
1497,177895.041267687
1498,188685.612260806
1499,165112.485530661
1500,161418.973950528
1501,175991.344026315
1502,149631.394669304
1503,252325.736679775
1504,246581.977935662
1505,231723.102514664
1506,190183.18586521
1507,254332.056121802
1508,202162.767862629
1509,154396.516555567
1510,148232.634034566
1511,168716.456722144
1512,177486.822328084
1513,141541.743444161
1514,159946.245867369
1515,189726.886493854
1516,147492.708707467
1517,159654.115180607
1518,129615.243682099
1519,211333.854652519
1520,130339.577721014
1521,134502.212286763
1522,172724.106343651
1523,117681.833261996
1524,125832.503960665
1525,121870.925869311
1526,111954.822263337
1527,108597.783576142
1528,129819.560601259
1529,164024.167613239
1530,211618.702009674
1531,112544.644439699
1532,90527.9286706264
1533,154812.030661072
1534,99404.4709229759
1535,146213.993547031
1536,107591.245199588
1537,69326.0651186932
1538,149649.248725972
1539,196791.143711192
1540,76780.7269253539
1541,147500.599953387
1542,150755.953522857
1543,190953.642991938
1544,84512.9231409799
1545,118181.117830982
1546,138375.611392189
1547,136250.4291621
1548,136323.239335327
1549,124747.411378286
1550,137354.837334232
1551,99162.9870339076
1552,145549.464027906
1553,140134.36696015
1554,122980.423597548
1555,161917.945224655
1556,79067.8397205922
1557,119032.646801266
1558,108310.056651878
1559,123282.676939914
1560,127206.444719394
1561,130124.6888931
1562,139195.948614899
1563,125463.499357014
1564,162111.297530026
1565,150919.14061243
1566,242250.797709349
1567,81255.2877657898
1568,248365.375419006
